"","definition","category","lexical_class","uni_lemma","Wordbank_AoA_understands","Wordbank_AoA_produces","CHILDES_token_freq","source_variable","source_measure","vocab_category"
"1","kiss","action_words","verbs","kiss",10,21,0.0116511464216404,10,"Wordbank_AoA_understands","easy"
"2","drink","action_words","verbs","drink (action)",12,21,0.00976768210963611,12,"Wordbank_AoA_understands","easy"
"3","eat","action_words","verbs","eat",12,19,0.0103376576552886,12,"Wordbank_AoA_understands","easy"
"4","hug","action_words","verbs","hug",12,22,0.00676618199443555,12,"Wordbank_AoA_understands","easy"
"5","bite","action_words","verbs","bite",13,22,0.0129103706252834,13,"Wordbank_AoA_understands","easy"
"6","bring","action_words","verbs","bring",13,26,0.00372425083616684,13,"Wordbank_AoA_understands","easy"
"7","dance","action_words","verbs","dance",13,22,0.0102410727883077,13,"Wordbank_AoA_understands","easy"
"8","get","action_words","verbs","get",13,23,0.0119055477946932,13,"Wordbank_AoA_understands","easy"
"9","give","action_words","verbs","give",13,26,0.00629660967945675,13,"Wordbank_AoA_understands","easy"
"10","go","action_words","verbs","go",13,19,0.0179909372417287,13,"Wordbank_AoA_understands","easy"
"11","look","action_words","verbs","look",13,24,0.0100821070929182,13,"Wordbank_AoA_understands","easy"
"12","throw","action_words","verbs","throw",13,24,0.00610326814303233,13,"Wordbank_AoA_understands","easy"
"13","dog","animals","nouns","dog",11,15,0.0208117110938073,11,"Wordbank_AoA_understands","easy"
"14","bird","animals","nouns","bird",13,18,0.0137745415495154,13,"Wordbank_AoA_understands","easy"
"15","cat","animals","nouns","cat",13,18,0.0156094525892706,13,"Wordbank_AoA_understands","easy"
"16","duck","animals","nouns","duck",13,17,0.0154636470559309,13,"Wordbank_AoA_understands","easy"
"17","kitty","animals","nouns","kitty",13,17,0.0143617641604449,13,"Wordbank_AoA_understands","easy"
"18","bunny","animals","nouns","bunny",15,20,0.0115752738085038,15,"Wordbank_AoA_understands","easy"
"19","fish","animals","nouns","fish (animal)",15,18,0.0151834923849121,15,"Wordbank_AoA_understands","easy"
"20","puppy","animals","nouns","puppy",15,21,0.0203520172608917,15,"Wordbank_AoA_understands","easy"
"21","teddybear","animals","nouns","teddybear",15,23,0.00477515498843742,15,"Wordbank_AoA_understands","easy"
"22","nose","body_parts","nouns","nose",11,18,0.0106109351627998,11,"Wordbank_AoA_understands","easy"
"23","eye","body_parts","nouns","eye",13,18,0.0256966973832968,13,"Wordbank_AoA_understands","easy"
"24","foot","body_parts","nouns","foot",13,22,0.0065822509241638,13,"Wordbank_AoA_understands","easy"
"25","hair","body_parts","nouns","hair",13,19,0.00886673757009969,13,"Wordbank_AoA_understands","easy"
"26","mouth","body_parts","nouns","mouth",13,19,0.0078274332864118,13,"Wordbank_AoA_understands","easy"
"27","ear","body_parts","nouns","ear",14,18,0.0113448069141319,14,"Wordbank_AoA_understands","easy"
"28","tummy","body_parts","nouns","tummy",14,22,0.00752689385338685,14,"Wordbank_AoA_understands","easy"
"29","hand","body_parts","nouns","hand",15,21,0.00728110123216777,15,"Wordbank_AoA_understands","easy"
"30","diaper","clothing","nouns","diaper",10,19,0.00782920990198224,10,"Wordbank_AoA_understands","easy"
"31","shoe","clothing","nouns","shoe",11,17,0.0192483530752276,11,"Wordbank_AoA_understands","easy"
"32","sock","clothing","nouns","sock",13,22,0.0141288109992793,13,"Wordbank_AoA_understands","easy"
"33","hat","clothing","nouns","hat",14,18,0.0115459887117719,14,"Wordbank_AoA_understands","easy"
"34","bib","clothing","nouns","bib",16,23,0.0178484635930597,16,"Wordbank_AoA_understands","easy"
"35","button","clothing","nouns","button",16,22,0.0273009236654534,16,"Wordbank_AoA_understands","easy"
"36","pajamas","clothing","nouns","pajamas",16,23,0.0102763570372431,16,"Wordbank_AoA_understands","easy"
"37","pants","clothing","nouns","pants",16,22,0.00739926526920995,16,"Wordbank_AoA_understands","easy"
"38","shirt","clothing","nouns","shirt",16,22,0.00627173490247394,16,"Wordbank_AoA_understands","easy"
"39","banana","food_drink","nouns","banana",11,16,0.0282303693519136,11,"Wordbank_AoA_understands","easy"
"40","cheerios","food_drink","nouns","cheerios",11,23,0.0174474700658934,11,"Wordbank_AoA_understands","easy"
"41","juice","food_drink","nouns","juice",12,17,0.0223772204302525,12,"Wordbank_AoA_understands","easy"
"42","milk","food_drink","nouns","milk",12,18,0.0141290396384475,12,"Wordbank_AoA_understands","easy"
"43","cookie","food_drink","nouns","cookie",13,18,0.0292501761559939,13,"Wordbank_AoA_understands","easy"
"44","cracker","food_drink","nouns","cracker",13,19,0.0224109223236019,13,"Wordbank_AoA_understands","easy"
"45","drink","food_drink","nouns","drink (beverage)",13,21,0.00976768210963611,13,"Wordbank_AoA_understands","easy"
"46","water","food_drink","nouns","water (beverage)",13,19,0.0124426031132215,13,"Wordbank_AoA_understands","easy"
"47","bathtub","furniture_rooms","nouns","bathtub",12,22,0.00801351719642966,12,"Wordbank_AoA_understands","easy"
"48","door","furniture_rooms","nouns","door",13,20,0.0119749122423266,13,"Wordbank_AoA_understands","easy"
"49","bed","furniture_rooms","nouns","bed",14,20,0.00724766133236183,14,"Wordbank_AoA_understands","easy"
"50","crib","furniture_rooms","nouns","crib",14,26,0.010698242860417,14,"Wordbank_AoA_understands","easy"
"51","high chair","furniture_rooms","nouns","high chair",14,26,NA,14,"Wordbank_AoA_understands","easy"
"52","tv","furniture_rooms","nouns","tv",14,22,0.00986880916460247,14,"Wordbank_AoA_understands","easy"
"53","bathroom","furniture_rooms","nouns","bathroom",15,23,0.0103958665007404,15,"Wordbank_AoA_understands","easy"
"54","chair","furniture_rooms","nouns","chair",15,21,0.0107767304249582,15,"Wordbank_AoA_understands","easy"
"55","stairs","furniture_rooms","nouns","stairs",15,25,0.0104688247948291,15,"Wordbank_AoA_understands","easy"
"56","bottle","household","nouns","bottle",9,18,0.0255441885880826,9,"Wordbank_AoA_understands","easy"
"57","cup","household","nouns","cup",11,19,0.0138955303858638,11,"Wordbank_AoA_understands","easy"
"58","keys","household","nouns","keys",12,24,0.0121916349057201,12,"Wordbank_AoA_understands","easy"
"59","telephone","household","nouns","telephone",12,21,0.00951202559624078,12,"Wordbank_AoA_understands","easy"
"60","blanket","household","nouns","blanket",13,20,0.0119434812895976,13,"Wordbank_AoA_understands","easy"
"61","brush","household","nouns","brush (object)",13,22,0.0173018663344914,13,"Wordbank_AoA_understands","easy"
"62","spoon","household","nouns","spoon",13,19,0.0134590950378255,13,"Wordbank_AoA_understands","easy"
"63","toothbrush","household","nouns","toothbrush",14,22,0.00933943604269429,14,"Wordbank_AoA_understands","easy"
"64","outside","outside","nouns","outside",11,Inf,0.00921959420328739,11,"Wordbank_AoA_understands","easy"
"65","water","outside","nouns","water (not beverage)",14,19,0.0124426031132215,14,"Wordbank_AoA_understands","easy"
"66","flower","outside","nouns","flower",15,19,0.0111863119778175,15,"Wordbank_AoA_understands","easy"
