"","gloss","CHILDES_token_freq","order"
"1","apple",NA,11
"2","baby",0.0106839171344369,12
"3","ball",0.0103256687653628,13
"4","banana",0.0017921146953405,14
"5","bat",0.00281029954935077,21
"6","bird",NA,15
"7","boat",NA,16
"8","book",NA,17
"9","bottle",NA,18
"10","car",0.000745712155108128,19
"11","carrots",NA,20
"12","cookie",NA,22
"13","cow",NA,23
"14","cup",NA,24
"15","dog",NA,1
"16","drink",NA,5
"17","duck",0.00217715771385699,25
"18","eat",NA,2
"19","fish",NA,26
"20","foot",NA,27
"21","frog",0.00153139356814701,28
"22","hand",0.00337584429218182,29
"23","horse",NA,30
"24","hug",0.00129032258064516,6
"25","juice",NA,31
"26","kiss",NA,7
"27","lion",NA,32
"28","milk",NA,33
"29","monkey",NA,34
"30","play",NA,10
"31","point",NA,8
"32","shoe",NA,35
"33","sit",0.00266174551163642,3
"34","sleep",NA,4
"35","sock",0.000962463907603465,36
"36","spoon",NA,37
"37","stand",0.00241869008257807,9
"38","train",NA,38
"39","truck",0.00130039011703511,39
